COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 25
SEED 1752193191

Init: 11852

## MERGING 3 LISTS ##
Baseline (copy+sort) 450
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (O1)                                | true    |      ? |       388,388,388 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       161,161,161 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       225,225,225 |             0.0000 |
Find (Oz)                                | true    |      ? |       416,416,416 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       214,214,214 |             0.0000 |
State Machine (O3)                       | true    |      ? |       128,128,128 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       221,221,221 |             0.0000 |
State Machine (O2)                       | true    |      ? |       128,128,128 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       221,221,221 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       160,160,160 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       220,220,220 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       131,131,131 |             0.0000 |
Find (O3)                                | true    |      ? |       346,346,346 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       221,221,221 |             0.0000 |
State Machine (Os)                       | true    |      ? |       131,131,131 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       163,163,163 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       180,180,180 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       229,229,229 |             0.0000 |
Find (Os)                                | true    |      ? |       422,422,422 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       163,163,163 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       160,160,160 |             0.0000 |
State Machine (O1)                       | true    |      ? |       136,136,136 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       230,230,230 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       220,220,220 |             0.0000 |
Find (O2)                                | true    |      ? |       392,392,392 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 976
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (O1)                                | true    |      ? |       546,546,546 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       240,240,240 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       297,297,297 |             0.0000 |
Find (Oz)                                | true    |      ? |       575,575,575 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       302,302,302 |             0.0000 |
State Machine (O3)                       | true    |      ? |       201,201,201 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       367,367,367 |             0.0000 |
State Machine (O2)                       | true    |      ? |       200,200,200 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       295,295,295 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       235,235,235 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       297,297,297 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       207,207,207 |             0.0000 |
Find (O3)                                | true    |      ? |       490,490,490 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       299,299,299 |             0.0000 |
State Machine (Os)                       | true    |      ? |       207,207,207 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       241,241,241 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       300,300,300 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       383,383,383 |             0.0000 |
Find (Os)                                | true    |      ? |       579,579,579 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       242,242,242 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       236,236,236 |             0.0000 |
State Machine (O1)                       | true    |      ? |       225,225,225 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       387,387,387 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       363,363,363 |             0.0000 |
Find (O2)                                | true    |      ? |       547,547,547 |             0.0000 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 983
